Date,Lo-3Prior,7-Hi Prior,ValueLo30,ValueMed40,ValueHi30,SizeLo30,SizeMed40,SizeHi30,Mkt_RF,SMB,HML,RF,WML,Mkt,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR,Big_Small_Hi_Lo_Spread
1/31/1927,-0.02,0.00,-0.0029,0.0002,0.0433,0.0121,0.0159,-0.0003,-0.0006,-0.0056,0.0483,0.0025,0.0044,0.0019,-0.0009,0.0362,0.004,-0.004,0.0027,0,0.00445
2/28/1927,0.07,0.04,0.0497,0.0366,0.0814,0.0641,0.0695,0.042,0.0418,-0.001,0.0317,0.0026,-0.0201,0.0444,0.0726,0.0611,0.0605,0.0727,0.038,0.0447,-0.02005
3/31/1927,-0.03,0.02,0.0121,0.0016,-0.0264,-0.0196,-0.0151,0.0092,0.0013,-0.016,-0.0267,0.003,0.0359,0.0043,-0.0338,-0.0288,-0.0206,-0.0363,-0.0024,0.0223,0.0359
4/30/1927,-0.01,0.02,0.0292,-0.007,0.0041,0.038,0.003,0.0084,0.0046,0.0043,0.006,0.0025,0.0419,0.0071,-0.0051,-0.0056,0.0332,-0.0272,0.0075,0.0182,0.04185
5/31/1927,0.05,0.06,0.0541,0.0504,0.0892,0.0941,0.0718,0.0564,0.0544,0.0141,0.0493,0.003,0.0301,0.0574,0.0239,0.1121,0.0682,0.0552,0.0485,0.0711,0.0301
6/30/1927,-0.04,-0.02,-0.0098,-0.0286,-0.0222,-0.0234,-0.0119,-0.0219,-0.0234,0.0047,-0.0153,0.0026,0.0051,-0.0208,-0.0206,-0.0044,-0.0288,-0.0372,-0.0212,-0.0187,0.00515
7/31/1927,0.04,0.09,0.0912,0.0666,0.0672,0.048,0.0529,0.0789,0.0726,-0.0323,-0.0116,0.003,0.0432,0.0756,0.0314,0.0429,0.0693,0.0453,0.0784,0.0938,0.0432
8/31/1927,0.00,0.03,0.0388,0.0104,-0.0151,-0.0036,0.0024,0.026,0.0197,-0.0072,-0.0369,0.0028,0.0112,0.0225,0,-0.0044,0.001,0.0121,0.021,0.0335,0.0112
9/30/1927,0.02,0.06,0.0532,0.0428,0.0505,0.0092,0.0429,0.0516,0.0476,-0.0357,-0.0071,0.0021,0.0193,0.0497,0.0253,0.003,0.0319,0.0302,0.0487,0.0622,0.0193
10/31/1927,-0.04,-0.05,-0.0356,-0.0418,-0.065,-0.0446,-0.025,-0.0413,-0.0431,0.0213,-0.0433,0.0025,-0.0111,-0.0406,-0.045,-0.018,-0.0334,-0.0211,-0.0339,-0.055,-0.01115
11/30/1927,0.08,0.08,0.0714,0.0683,0.072,0.1282,0.0775,0.0664,0.0658,0.0276,-0.0031,0.0021,-0.0068,0.0679,0.1162,0.0864,0.0702,0.0512,0.0602,0.0835,-0.00685
12/31/1927,0.02,0.03,0.0257,0.0189,0.0331,0.0215,0.0312,0.0232,0.0209,0.0093,-0.0106,0.0022,0.0319,0.0231,0.0037,0.0574,0.0453,0.0123,0.017,0.0346,0.03195
1/31/1928,-0.01,-0.01,-0.0039,-0.002,-0.0136,0.0514,0.0189,-0.0087,-0.0068,0.0425,-0.0072,0.0025,-0.006,-0.0043,0.0292,0.0347,0.0066,-0.0193,-0.0024,-0.0087,-0.006
2/29/1928,-0.01,-0.02,-0.0078,-0.0117,-0.0297,-0.0258,-0.0267,-0.0111,-0.017,-0.0203,-0.0069,0.0033,-0.0102,-0.0137,-0.035,-0.0192,-0.0477,-0.0081,-0.0104,-0.0158,-0.0102
3/31/1928,0.07,0.12,0.1217,0.0627,0.081,0.0741,0.0689,0.0943,0.0881,-0.0026,-0.012,0.0029,0.0487,0.091,0.0645,0.0781,0.0757,0.0675,0.053,0.1537,0.0487
4/30/1928,0.09,0.02,0.0294,0.0626,0.0543,0.1125,0.0681,0.0383,0.0423,0.0382,0.0367,0.0022,-0.0565,0.0445,0.082,0.1042,0.0598,0.1114,0.0402,0.0205,-0.05655
5/31/1928,0.01,0.03,0.0272,0,0.0098,0.0669,0.0177,0.0144,0.0152,0.0298,-0.0346,0.0032,0.0285,0.0184,0.0276,0.0237,0.0401,-0.0121,0.0106,0.0324,0.0285
6/30/1928,-0.07,-0.05,-0.0373,-0.0437,-0.0567,-0.0895,-0.064,-0.0395,-0.0485,-0.035,-0.0006,0.0031,0.0205,-0.0454,-0.0928,-0.0731,-0.0627,-0.0517,-0.0405,-0.0409,0.02045
7/31/1928,-0.01,0.01,0.0132,0.0009,0.0051,-0.0056,0.0093,0.0098,0.0062,-0.0135,-0.0047,0.0032,0.0275,0.0094,-0.0167,-0.0057,0.0199,-0.0028,0.0078,0.0156,0.0275
8/31/1928,0.05,0.09,0.0867,0.0537,0.0624,0.03,0.0696,0.0702,0.0668,-0.0207,-0.0211,0.0032,0.0362,0.07,0.0495,0.0241,0.0629,0.043,0.0626,0.1021,0.03625
9/30/1928,0.02,0.05,0.0347,0.0202,0.0485,0.0474,0.0551,0.0289,0.0288,0.0218,0.0076,0.0027,0.0362,0.0315,0.042,0.0533,0.0761,0.0143,0.0189,0.0525,0.03615
10/31/1928,-0.01,0.04,0.0149,0.015,0.0193,0.0237,0.017,0.0164,0.0133,0.0227,-0.0226,0.0041,0.0505,0.0174,0.003,0.0092,0.0729,0.0077,0.0078,0.0388,0.0505
11/30/1928,0.08,0.15,0.111,0.1319,0.1296,0.1191,0.1231,0.1215,0.1181,-0.0181,0.028,0.0038,0.0193,0.1219,0.1006,0.1167,0.1055,0.0878,0.1349,0.1215,0.0193
12/31/1928,-0.01,0.02,0.0093,-0.0003,0.0089,-0.0205,0.0139,0.0037,0.0036,-0.0085,-0.006,0.0006,0.0171,0.0042,-0.0267,0.0065,-0.014,-0.0047,0.0007,0.0167,0.01705
1/31/1929,0.04,0.04,0.0637,0.0472,0.0239,0.0182,0.0298,0.0552,0.0466,-0.0355,-0.0121,0.0034,0.0243,0.05,-0.0011,0.0219,0.0284,0.0388,0.052,0.0579,0.0243
2/28/1929,-0.01,0.01,-0.0055,0.0084,0.0259,0.006,0.0185,-0.002,-0.0034,-0.0039,0.0168,0.0036,0.0305,0.0002,-0.0012,0.0122,0.0319,-0.0161,-0.0083,0.0118,0.0305
3/31/1929,0.00,-0.01,-0.0149,0.0199,-0.0086,-0.0352,-0.0451,0.0034,-0.0089,-0.0478,0.0156,0.0034,-0.0105,-0.0055,-0.042,-0.0567,-0.0407,0.0078,0.0082,-0.0144,-0.01045
4/30/1929,-0.02,0.03,0.0217,0.0118,0.024,-0.0053,0.0247,0.0171,0.0143,-0.0099,0.0061,0.0036,0.019,0.0179,0.0174,-0.0065,0.019,-0.0094,0.0174,0.0269,0.01895
5/31/1929,-0.08,-0.06,-0.0582,-0.0436,-0.0741,-0.1449,-0.0873,-0.0489,-0.0639,-0.0546,-0.0157,0.0044,-0.0204,-0.0595,-0.1122,-0.0892,-0.1178,-0.0341,-0.0453,-0.0693,-0.0204
6/30/1929,0.02,0.13,0.1235,0.0935,0.0731,0.0669,0.1006,0.1038,0.097,-0.0217,-0.0276,0.0052,0.0872,0.1022,0.0429,0.0613,0.1038,0.0308,0.0772,0.1443,0.0872
7/31/1929,0.01,0.06,0.0348,0.059,0.0479,-0.001,0.023,0.0514,0.0446,-0.0387,0.0267,0.0033,0.0283,0.0479,0.0082,-0.0022,0.0241,0.009,0.0485,0.0498,0.02835
8/31/1929,0.02,0.11,0.0709,0.1201,0.0588,-0.0055,0.0252,0.0943,0.0818,-0.0951,0.0007,0.004,0.0459,0.0858,-0.0134,-0.0002,0.0187,0.0527,0.076,0.1124,0.0459
9/30/1929,-0.09,-0.05,-0.0442,-0.0494,-0.0595,-0.0552,-0.0367,-0.0508,-0.0547,0.0117,-0.0063,0.0035,0.0304,-0.0512,-0.0612,-0.0371,-0.0209,-0.074,-0.0358,-0.0535,0.0304
10/31/1929,-0.29,-0.17,-0.2415,-0.1428,-0.117,-0.22,-0.2116,-0.1904,-0.2012,-0.0408,0.0785,0.0046,0.0409,-0.1966,-0.2433,-0.197,-0.2322,-0.2798,-0.1132,-0.2091,0.0409
11/30/1929,-0.14,-0.12,-0.1429,-0.1089,-0.0826,-0.138,-0.1256,-0.1204,-0.1274,-0.0191,0.0533,0.0037,-0.0239,-0.1237,-0.1259,-0.106,-0.1817,-0.1424,-0.0817,-0.1345,-0.02395
12/31/1929,-0.04,0.01,0.033,0.0044,0.0093,-0.0637,-0.0033,0.0218,0.0133,-0.042,-0.0059,0.0037,0.0513,0.017,-0.0778,-0.0197,-0.0057,0.0009,-0.0162,0.0315,0.05135
1/31/1930,0.09,0.05,0.0716,0.0351,0.0358,0.1306,0.0783,0.0489,0.0561,0.0358,-0.0101,0.0014,-0.0524,0.0575,0.1784,0.0876,0.067,0.0431,0.0587,0.0497,-0.0524
2/28/1930,0.02,0.02,0.0343,0.0186,0.0162,0.0264,0.0184,0.0292,0.025,0.0012,0.0039,0.003,0.0045,0.028,0.0413,0.033,0.0286,0.0078,0.018,0.0295,0.0045
3/31/1930,0.09,0.07,0.0685,0.0843,0.0605,0.1207,0.0884,0.074,0.071,0.0344,0.0015,0.0035,-0.0418,0.0745,0.1184,0.1142,0.0635,0.0991,0.0666,0.0704,-0.0418
